PropertyID,SaleDate,Neighborhood,SqftLiving,Bedrooms,Bathrooms,YearBuilt,Garage,GarageCars,LotSizeAcres,SalePrice,column asaihn
PROP-20288,2022-11-01,West End,2775,4,2.8,2004,Yes,3.0,0.54,744200.0,
PROP-20289,2022-08-24,North Hills,1381,2,1.0,2004,Yes,1.0,0.25,376800.0,
PROP-20290,2022-09-25,Riverside,3239,6,4.1,1993,Yes,,,817000.0,
PROP-20291,2022-07-30,Riverside,2147,4,2.7,1962,No,0.0,0.49,495600.0,
PROP-20292,2023-12-20,Downtown,1755,2,1.5,2005,Yes,2.0,0.28,468100.0,
PROP-20293,2023-03-30,Suburbs,2547,3,2.5,1962,Yes,2.0,0.18,584400.0,
PROP-20294,2023-10-01,Suburbs,1227,1,1.0,2015,No,0.0,0.43,270100.0,
PROP-20295,2022-10-31,West End,2485,5,3.9,2021,No,0.0,0.14,635500.0,
PROP-20296,2022-02-17,Downtown,3808,5,3.9,1973,Yes,3.0,0.62,906800.0,
PROP-20297,2023-04-10,North Hills,3287,6,4.4,2007,Yes,1.0,0.14,900700.0,
PROP-20298,2023-10-12,West End,3227,5,3.6,1991,Yes,1.0,0.45,820600.0,
PROP-20299,2023-06-17,Riverside,3657,5,3.8,2016,No,0.0,0.25,835600.0,
PROP-20300,2022-04-13,West End,911,2,1.5,2009,No,0.0,0.32,287600.0,
PROP-20301,2023-11-11,Riverside,4421,6,4.3,2005,No,0.0,0.28,984900.0,
PROP-20302,2022-06-05,Riverside,1134,1,1.0,2006,No,0.0,0.9,358100.0,
PROP-20303,2022-09-13,Suburbs,4499,6,5.0,1982,No,0.0,,1082500.0,
PROP-20304,2022-02-01,West End,2472,5,3.5,1974,Yes,3.0,1.19,651600.0,
PROP-20305,2022-02-27,North Hills,3882,6,4.6,2011,Yes,1.0,0.16,937300.0,
PROP-20306,2022-01-27,Riverside,1725,2,1.5,1999,Yes,2.0,1.02,457700.0,
PROP-20307,2023-03-05,North Hills,2327,3,2.0,2004,No,0.0,0.23,573200.0,
PROP-20308,2023-09-30,Downtown,1899,1,1.0,2017,Yes,2.0,0.22,488800.0,
PROP-20309,2022-08-04,Suburbs,1236,1,1.1,2010,Yes,1.0,0.13,376400.0,
PROP-20310,2023-04-24,Downtown,3531,6,4.5,2012,No,0.0,0.25,877500.0,
PROP-20311,2023-06-11,Riverside,4085,5,3.2,1999,Yes,2.0,0.36,980600.0,
PROP-20312,2023-05-09,Riverside,3927,6,5.0,1982,Yes,,0.38,990500.0,
PROP-20313,2023-01-06,Riverside,3444,6,4.1,1996,Yes,2.0,0.21,857400.0,
PROP-20314,2022-07-18,West End,4453,6,4.6,2017,No,0.0,0.23,1090500.0,
PROP-20315,2022-02-12,Suburbs,4001,6,4.2,2001,Yes,2.0,0.38,961600.0,
PROP-20316,2022-10-31,Downtown,2262,3,2.4,2010,Yes,2.0,0.15,586500.0,
PROP-20317,2023-07-08,West End,3761,6,4.6,1989,Yes,1.0,0.79,933700.0,
PROP-20318,2023-12-01,Suburbs,4277,6,4.4,2016,Yes,1.0,1.94,1094900.0,
PROP-20319,2022-02-13,Riverside,3504,5,3.9,1982,Yes,2.0,0.15,885100.0,
PROP-20320,2022-10-22,Suburbs,3859,6,4.6,1965,Yes,2.0,0.3,929100.0,
PROP-20321,2022-07-31,Downtown,2572,6,4.5,1968,Yes,2.0,0.15,767900.0,
PROP-20322,2023-12-22,Riverside,4257,6,4.5,2001,No,0.0,0.11,1027300.0,
PROP-20323,2023-11-24,Downtown,2268,4,3.0,1988,No,0.0,0.49,548700.0,
PROP-20324,2022-06-22,North Hills,2055,2,1.7,2007,No,0.0,0.49,500300.0,
PROP-20325,2022-05-02,Downtown,2738,4,3.8,2023,Yes,3.0,0.49,758100.0,
PROP-20326,2023-03-22,North Hills,2762,4,3.0,1969,Yes,1.0,0.27,724100.0,
PROP-20327,2022-07-25,West End,3297,4,3.0,2001,No,0.0,0.11,751200.0,
PROP-20328,2022-08-24,Suburbs,2435,3,2.6,2004,Yes,2.0,0.11,614600.0,
PROP-20329,2023-07-20,Suburbs,1338,2,1.7,1960,Yes,1.0,0.6,380200.0,
PROP-20330,2023-10-27,Riverside,1545,2,1.6,2018,No,0.0,0.49,382100.0,
PROP-20331,2022-03-10,Downtown,1809,3,2.3,1978,Yes,3.0,0.49,422200.0,
PROP-20332,2022-04-26,North Hills,1995,2,1.6,2019,Yes,3.0,,534700.0,
PROP-20333,2023-01-28,North Hills,3325,4,2.9,1987,Yes,3.0,0.14,864000.0,
PROP-20334,2022-02-28,West End,3096,6,4.3,1963,No,0.0,0.23,731900.0,
PROP-20335,2022-06-01,West End,3101,5,3.6,1967,Yes,2.0,1.12,732800.0,
PROP-20336,2022-10-19,Downtown,2275,4,2.8,1968,Yes,1.0,0.36,602600.0,
PROP-20337,2023-11-21,North Hills,1379,3,1.9,2001,No,0.0,0.32,463200.0,
PROP-20338,2023-10-31,Riverside,1852,3,2.4,1992,Yes,3.0,0.31,531300.0,
PROP-20339,2022-09-04,North Hills,1626,3,1.9,1964,No,0.0,0.13,354100.0,
PROP-20340,2023-05-31,North Hills,1735,2,1.2,2009,Yes,2.0,0.99,434600.0,
PROP-20341,2023-02-16,Riverside,4427,6,4.3,2016,Yes,2.0,0.55,1061800.0,
PROP-20342,2022-08-02,Downtown,867,1,1.3,1966,Yes,1.0,0.24,293800.0,
PROP-20343,2022-07-27,West End,4105,6,4.5,1997,Yes,1.0,0.3,1002500.0,
PROP-20344,2022-05-22,North Hills,1114,2,1.2,1968,Yes,3.0,0.14,265500.0,
PROP-20345,2022-03-24,North Hills,875,2,1.4,1977,Yes,1.0,0.1,181800.0,
PROP-20346,2022-07-04,North Hills,2777,3,2.1,2003,Yes,1.0,0.33,654600.0,
PROP-20347,2023-10-15,Downtown,3268,5,3.8,1991,No,0.0,0.33,828500.0,
PROP-20348,2022-05-23,Downtown,1770,3,2.0,2002,No,0.0,0.48,416500.0,
PROP-20349,2023-03-09,Suburbs,2083,3,2.3,2018,Yes,2.0,0.15,480200.0,
PROP-20350,2022-06-09,Suburbs,1038,1,1.1,2002,Yes,3.0,0.16,284600.0,
PROP-20351,2022-04-13,North Hills,4280,6,5.0,1981,Yes,1.0,0.17,986200.0,
PROP-20352,2022-11-25,Downtown,2990,5,3.8,2006,Yes,3.0,0.44,783400.0,
PROP-20353,2023-04-10,West End,1719,3,2.7,1960,No,0.0,0.23,377500.0,
PROP-20354,2022-07-16,Suburbs,3493,5,3.2,2009,Yes,1.0,0.56,858700.0,
PROP-20355,2023-12-05,North Hills,2314,3,2.5,1995,Yes,2.0,0.23,624000.0,
PROP-20356,2022-10-19,Downtown,4388,6,4.3,1995,No,0.0,0.2,996400.0,
PROP-20357,2023-08-10,West End,2239,3,2.4,1961,Yes,2.0,0.67,571200.0,
PROP-20358,2023-10-31,Riverside,2108,4,3.3,1983,Yes,2.0,0.71,523200.0,
PROP-20359,2022-12-07,Riverside,2006,3,2.0,1973,Yes,1.0,0.44,470300.0,
PROP-20360,2022-11-06,West End,1747,3,2.4,1970,No,0.0,0.44,455300.0,
PROP-20361,2023-11-18,North Hills,3143,3,2.2,2004,No,0.0,0.86,701300.0,
PROP-20362,2022-02-20,Downtown,823,1,1.0,1962,Yes,2.0,0.36,244300.0,
PROP-20363,2023-01-23,West End,1803,3,2.1,2019,Yes,1.0,,538600.0,
PROP-20364,2022-10-23,Riverside,2984,4,2.8,1971,Yes,1.0,,700700.0,
PROP-20365,2023-11-13,Suburbs,1939,4,2.5,2003,Yes,2.0,0.25,493600.0,
PROP-20366,2023-11-09,North Hills,4105,6,4.4,2018,Yes,3.0,0.15,989800.0,
PROP-20367,2022-06-14,North Hills,3659,5,3.6,1994,No,0.0,0.27,813300.0,
PROP-20368,2023-11-29,Suburbs,2559,3,2.1,2008,Yes,3.0,,616600.0,
PROP-20369,2023-10-22,Riverside,3848,5,4.0,1984,No,0.0,0.43,974800.0,
PROP-20370,2022-03-31,West End,3957,6,4.8,1981,Yes,1.0,0.14,1040400.0,
PROP-20371,2022-05-21,Suburbs,2772,4,2.9,2006,No,0.0,0.29,683900.0,
PROP-20372,2023-12-02,North Hills,1702,3,2.4,1988,Yes,3.0,0.75,463200.0,
PROP-20373,2022-03-25,West End,4197,6,4.6,2021,Yes,2.0,0.29,1016600.0,
PROP-20374,2022-12-23,West End,3094,4,3.5,1963,Yes,,0.28,785200.0,
PROP-20375,2023-05-15,Downtown,3014,3,2.3,1993,Yes,3.0,0.37,704000.0,
PROP-20376,2022-12-27,Downtown,2400,4,3.0,2013,Yes,2.0,0.43,647800.0,
PROP-20377,2022-10-19,Riverside,1629,3,2.2,1965,Yes,2.0,0.19,374600.0,
PROP-20378,2022-01-19,North Hills,3916,6,4.9,1995,Yes,3.0,0.44,962900.0,
PROP-20379,2022-03-03,Riverside,2083,3,1.9,2017,Yes,2.0,0.69,557500.0,
PROP-20380,2022-12-21,West End,1268,2,1.3,1985,Yes,,0.47,370000.0,
PROP-20381,2023-12-02,Suburbs,3928,6,4.2,1972,No,,0.37,951000.0,
PROP-20382,2023-07-31,West End,3621,6,4.9,2001,Yes,1.0,0.31,890700.0,
PROP-20383,2022-04-03,Suburbs,2601,4,3.6,1981,No,0.0,0.37,614400.0,
PROP-20384,2022-08-29,North Hills,4469,6,4.7,1985,Yes,1.0,0.82,1069500.0,
PROP-20385,2022-11-02,Riverside,1723,3,2.1,1993,Yes,1.0,0.14,472200.0,
PROP-20386,2023-06-02,West End,4143,6,4.6,1969,Yes,1.0,0.37,1026800.0,
PROP-20387,2023-07-05,West End,2746,5,3.4,1999,Yes,1.0,0.12,725400.0,
PROP-20388,2022-01-13,North Hills,4287,6,4.7,1968,Yes,3.0,0.29,964700.0,
PROP-20389,2022-07-02,North Hills,2613,4,3.7,1980,Yes,3.0,0.21,640400.0,
PROP-20390,2023-03-18,Downtown,4002,6,4.7,2015,Yes,,0.37,978500.0,
PROP-20391,2023-07-18,North Hills,801,1,1.0,2012,Yes,3.0,0.24,248100.0,
PROP-20392,2023-12-27,Riverside,1834,3,1.9,1993,Yes,3.0,0.78,477200.0,
PROP-20393,2023-01-23,West End,3223,4,3.4,1984,Yes,3.0,0.32,788900.0,
PROP-20394,2022-03-28,Suburbs,4038,6,4.7,2002,Yes,1.0,0.94,1000200.0,
PROP-20395,2022-02-07,Downtown,3324,5,3.8,2012,No,0.0,0.56,788000.0,
PROP-20396,2022-07-24,West End,4020,6,4.2,2021,Yes,1.0,1.23,975800.0,
PROP-20397,2023-10-21,Riverside,1591,3,2.3,2014,No,0.0,0.16,421000.0,
PROP-20398,2023-09-16,Riverside,1094,2,1.0,2015,Yes,2.0,0.23,278000.0,
PROP-20399,2023-05-20,West End,3518,5,4.1,1994,Yes,1.0,0.46,865700.0,
PROP-20400,2023-04-02,Riverside,1782,2,1.6,1980,No,0.0,0.23,416500.0,
PROP-20401,2022-12-28,West End,4385,6,4.4,2011,Yes,3.0,0.23,1068100.0,
PROP-20402,2023-02-06,Riverside,1629,2,1.4,1997,Yes,,,482600.0,
PROP-20403,2023-02-13,Riverside,3226,5,3.9,2023,Yes,2.0,1.62,758500.0,
PROP-20404,2024-01-01,West End,3425,6,3.9,2018,Yes,3.0,0.15,839600.0,
PROP-20405,2023-10-13,Riverside,3632,6,4.6,1969,Yes,2.0,0.29,830200.0,
PROP-20406,2023-01-10,Downtown,1343,2,1.0,2010,Yes,1.0,0.24,367900.0,
PROP-20407,2022-02-14,West End,2865,4,3.0,2019,No,0.0,0.67,685800.0,
PROP-20408,2022-07-10,North Hills,2765,5,3.8,2005,Yes,2.0,,714900.0,
PROP-20409,2022-04-24,Downtown,2759,4,2.7,2011,Yes,2.0,0.99,727800.0,
PROP-20410,2022-01-17,North Hills,3913,6,4.5,2020,No,0.0,0.28,950600.0,
PROP-20411,2023-01-03,Riverside,2508,4,2.7,1982,Yes,3.0,0.91,613700.0,
PROP-20412,2022-08-18,Suburbs,1906,3,2.5,1998,Yes,1.0,0.2,511400.0,
PROP-20413,2023-11-23,West End,1464,2,1.4,1977,Yes,2.0,0.18,390900.0,
PROP-20414,2023-12-14,Downtown,2764,4,2.6,2013,Yes,3.0,,664500.0,
PROP-20415,2023-10-06,Suburbs,2488,5,3.5,1988,Yes,2.0,0.16,693700.0,
PROP-20416,2022-06-12,Downtown,1621,2,1.4,1973,No,0.0,0.5,394100.0,
PROP-20417,2023-03-06,West End,885,1,1.0,1978,Yes,,0.14,296200.0,
PROP-20418,2023-02-02,Downtown,870,1,1.0,2018,Yes,2.0,0.52,261500.0,
PROP-20419,2022-09-16,Riverside,3474,6,4.8,1990,No,0.0,0.97,828100.0,
PROP-20420,2022-12-29,Riverside,3369,5,4.4,1964,Yes,1.0,0.73,864000.0,
PROP-20421,2023-05-16,Downtown,4404,6,4.5,1986,No,0.0,0.41,1050600.0,
PROP-20422,2022-01-21,Riverside,1803,3,2.0,1976,Yes,2.0,0.31,466000.0,
PROP-20423,2022-12-26,North Hills,1878,2,2.0,1987,Yes,3.0,0.52,494700.0,
PROP-20424,2023-09-18,Downtown,4120,6,5.0,2006,No,0.0,0.15,1026700.0,
PROP-20425,2023-03-26,West End,3075,4,2.8,1971,Yes,1.0,0.21,731100.0,
PROP-20426,2022-04-13,Suburbs,3248,5,4.4,1997,Yes,3.0,0.86,773600.0,
PROP-20427,2023-01-31,Suburbs,3166,5,3.7,1993,Yes,1.0,0.19,756800.0,
PROP-20428,2022-12-01,West End,936,1,1.0,1997,No,0.0,0.26,252500.0,
PROP-20429,2022-02-08,West End,889,2,1.0,1982,Yes,3.0,0.59,336000.0,
PROP-20430,2023-10-13,North Hills,905,1,1.0,1991,Yes,2.0,0.37,233800.0,
PROP-20431,2022-07-29,Riverside,2365,3,2.6,1981,Yes,2.0,0.22,566800.0,
PROP-20432,2023-12-18,Downtown,2281,3,1.8,1984,Yes,1.0,,533400.0,
PROP-20433,2022-03-03,Suburbs,960,4,2.8,1971,No,0.0,0.36,337200.0,
PROP-20434,2022-09-16,North Hills,2001,3,2.5,2020,Yes,2.0,0.22,561400.0,
PROP-20435,2022-09-11,Suburbs,2145,3,2.3,1964,Yes,2.0,0.6,513800.0,
PROP-20436,2023-12-28,North Hills,2594,4,3.0,1984,Yes,1.0,0.57,679200.0,
PROP-20437,2023-05-23,Downtown,2318,4,2.9,2019,Yes,2.0,0.11,642800.0,
PROP-20438,2023-04-01,Riverside,1858,4,3.0,2008,Yes,1.0,0.19,579900.0,
PROP-20439,2022-12-17,Suburbs,1901,3,2.8,1970,Yes,1.0,0.32,528900.0,
PROP-20440,2022-08-06,West End,3593,5,3.7,1974,Yes,3.0,0.22,848200.0,
PROP-20441,2023-12-11,West End,3894,6,4.6,2020,Yes,3.0,0.18,989400.0,
PROP-20442,2022-10-07,North Hills,3603,5,4.0,1986,No,0.0,0.68,900200.0,
PROP-20443,2022-04-30,West End,1293,1,1.1,1989,No,0.0,0.28,311500.0,
PROP-20444,2023-03-24,West End,3350,6,4.2,2010,No,0.0,0.17,887800.0,
PROP-20445,2023-02-23,West End,1187,1,1.0,2019,Yes,2.0,0.13,327400.0,
PROP-20446,2022-09-15,North Hills,1835,3,1.8,2016,Yes,2.0,0.51,459100.0,
PROP-20447,2022-11-04,West End,4011,6,4.7,1992,Yes,1.0,0.45,999500.0,
PROP-20448,2023-06-28,Suburbs,832,2,1.0,2003,Yes,3.0,0.24,220700.0,
PROP-20449,2023-10-18,Downtown,2472,3,1.6,1989,Yes,,1.25,602200.0,
PROP-20450,2023-08-25,Riverside,3600,6,4.4,2022,No,0.0,0.15,872900.0,
PROP-20451,2023-08-18,Riverside,3890,5,3.8,1991,Yes,1.0,0.18,969300.0,
PROP-20452,2022-07-12,North Hills,1573,2,1.4,1990,No,0.0,0.16,472200.0,
PROP-20453,2022-05-20,North Hills,1124,2,1.5,1973,Yes,,0.12,328200.0,
PROP-20454,2022-07-12,North Hills,4472,6,4.6,1992,No,0.0,0.34,1004200.0,
PROP-20455,2023-09-05,Riverside,2032,4,2.5,1981,Yes,3.0,0.12,539300.0,
PROP-20456,2022-12-10,North Hills,1306,4,3.4,1992,No,0.0,0.73,347900.0,
PROP-20457,2023-01-02,Riverside,1572,3,2.4,1966,Yes,3.0,0.3,477100.0,
PROP-20458,2022-12-26,Riverside,3233,5,3.9,2016,Yes,1.0,0.85,835100.0,
PROP-20459,2023-04-18,Downtown,2214,3,2.5,2020,Yes,1.0,0.24,604400.0,
PROP-20460,2022-08-24,Riverside,2380,4,3.4,1991,Yes,3.0,0.21,604600.0,
PROP-20461,2023-10-10,Suburbs,4496,6,4.1,1980,No,0.0,0.61,1036500.0,
PROP-20462,2023-07-14,West End,2973,5,3.7,1966,Yes,3.0,0.24,692200.0,
PROP-20463,2023-06-09,West End,2106,3,2.2,2016,No,0.0,0.33,541500.0,
PROP-20464,2023-01-14,Riverside,1694,2,1.2,1980,No,0.0,0.31,381000.0,
PROP-20465,2022-05-19,Suburbs,1444,2,1.9,2017,Yes,1.0,1.22,384100.0,
PROP-20466,2023-08-01,North Hills,3388,6,5.0,1983,Yes,3.0,0.52,863800.0,
PROP-20467,2022-03-28,North Hills,1874,4,3.2,2008,Yes,1.0,,574000.0,
PROP-20468,2023-07-28,West End,3501,6,4.4,1976,Yes,3.0,0.16,911600.0,
PROP-20469,2023-03-24,Riverside,3182,5,3.8,2002,No,0.0,0.13,788900.0,
PROP-20470,2022-08-16,Downtown,1411,2,1.8,2018,Yes,1.0,0.4,430200.0,
PROP-20471,2023-09-16,Downtown,3144,5,3.8,1976,Yes,2.0,0.29,783800.0,
PROP-20472,2022-05-02,Suburbs,2521,3,1.6,1989,Yes,2.0,0.61,690300.0,
PROP-20473,2022-10-30,Riverside,4042,6,4.7,2000,Yes,2.0,0.26,1037100.0,
PROP-20474,2022-05-26,Suburbs,2754,3,2.2,1972,Yes,1.0,0.59,747700.0,
PROP-20475,2023-05-06,West End,3584,5,4.1,1992,Yes,2.0,0.17,894800.0,
PROP-20476,2023-11-08,Downtown,4202,6,4.8,1961,Yes,2.0,0.91,987700.0,
PROP-20477,2023-04-07,Downtown,4454,6,4.3,1977,Yes,1.0,0.24,1088900.0,
PROP-20478,2023-01-01,Suburbs,4373,6,5.0,1978,Yes,1.0,0.83,1095400.0,
PROP-20479,2022-06-10,West End,4059,6,4.1,2022,Yes,1.0,0.59,1026900.0,
PROP-20480,2023-08-23,Riverside,2561,4,2.9,1976,Yes,1.0,0.11,641200.0,
PROP-20481,2023-11-27,Downtown,2963,4,2.4,2016,Yes,2.0,0.62,690300.0,
PROP-20482,2022-01-22,Riverside,985,3,1.5,1996,Yes,2.0,1.0,300800.0,
PROP-20483,2023-05-02,Downtown,4028,6,4.5,2010,Yes,3.0,1.06,1005500.0,
PROP-20484,2023-02-16,Downtown,1233,3,2.7,1984,Yes,1.0,0.43,345300.0,
PROP-20485,2022-08-08,West End,3155,3,1.8,2002,Yes,2.0,0.23,763300.0,
PROP-20486,2022-03-19,Riverside,2211,4,3.0,1983,Yes,2.0,0.47,601400.0,
PROP-20487,2022-01-07,Riverside,4040,6,4.8,1990,Yes,2.0,0.5,963500.0,
PROP-20488,2022-07-13,North Hills,4396,6,4.0,2011,Yes,3.0,0.3,1016800.0,
PROP-20489,2022-08-14,Suburbs,888,1,1.0,1968,Yes,1.0,0.3,285300.0,
PROP-20490,2022-09-22,Downtown,1302,2,1.8,1963,Yes,2.0,0.1,342100.0,
PROP-20491,2022-10-09,North Hills,1432,2,1.3,2006,No,0.0,0.18,400600.0,
PROP-20492,2022-09-08,Riverside,2236,4,2.8,1991,No,0.0,0.7,577200.0,
PROP-20493,2022-04-25,Suburbs,3769,5,3.4,1996,No,0.0,1.49,935800.0,
PROP-20494,2022-03-26,West End,1595,3,2.2,1996,Yes,2.0,0.24,465600.0,
PROP-20495,2022-12-04,Riverside,4089,6,4.5,1980,Yes,3.0,0.21,1040000.0,
PROP-20496,2022-02-01,West End,3177,6,4.3,1996,No,0.0,0.93,785200.0,
PROP-20497,2023-06-27,Downtown,1597,2,2.0,1963,No,0.0,0.5,370000.0,
PROP-20498,2023-03-19,West End,3126,4,3.0,1978,No,0.0,1.4,760800.0,
PROP-20499,2022-09-03,Downtown,3917,6,4.3,1976,No,0.0,0.48,956100.0,
PROP-20000,2022-09-10,Suburbs,18500,3,1.7,1971,Yes,1.0,0.33,652000.0,
PROP-20001,2023-10-10,West End,1591,2,1.9,2017,Yes,3.0,0.77,423600.0,
PROP-20002,2022-11-10,Suburbs,3496,5,3.9,1978,Yes,2.0,0.21,859100.0,
PROP-20003,2022-11-03,Downtown,991,2,1.4,1985,No,0.0,0.25,278800.0,
PROP-20004,2022-09-09,Suburbs,4395,6,4.6,1968,Yes,2.0,0.6,1035700.0,
